Con,Contp,Reg,Dat,Agtp,Stage,Loc1ISO,StDef,StGen,StCon,Dev,NatRes,Bus,LaRef,SsrPol,GCh,GRa,GeWom,GeMe,HrGen,EqGen,HrDem,HrFra,HrCp,HrSec,HrNi,Med,HrCit,Prot,Pol,Cons,Ele,Pubad,Polps,Terps,Eps,JusCr,JusJu,TjNR,Religion
India/Nagaland,Government/territory,Asia and Pacific,2003-01-23,Intra,Ren,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Nagaland,Government/territory,Asia and Pacific,2002-09-23,Intra,Pre,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
India/Nagaland,Government/territory,Asia and Pacific,2002-07-11,Intra,Pre,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Nagaland,Government/territory,Asia and Pacific,2001-06-14,Intra,Cea,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Nagaland,Government/territory,Asia and Pacific,1997-07-25,Intra,Cea,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Pakistan,Territory,Asia and Pacific,2007-02-21,Inter,SubPar,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Pakistan,Territory,Asia and Pacific,1999-02-21,Inter,SubPar,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Pakistan,Territory,Asia and Pacific,1999-02-21,Inter,Pre,IND,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
India/Pakistan,Territory,Asia and Pacific,1999-02-21,Inter,SubPar,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Pakistan,Territory,Asia and Pacific,1998-09-23,Inter,Imp,IND,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Pakistan,Territory,Asia and Pacific,1991-04-06,Inter,SubPar,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India/Pakistan,Territory,Asia and Pacific,1991-04-06,Inter,SubPar,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
